athlete_certification_key,person_key,club_key,certification_type_key,person_type_key,has_certificate
6899,13880,135,1,1,1
6900,13881,135,1,1,1
6901,13882,135,1,1,1
6902,13883,135,1,1,1
6903,13884,135,1,1,1
6904,13886,,1,1,1
6905,13887,,1,1,1
6906,13888,,1,1,1
6907,13890,,1,1,1
6908,13891,194,1,1,1
6909,13893,194,1,1,1
6910,13894,194,1,1,1
6911,13896,194,1,1,1
6912,13897,194,1,1,1
6913,13901,68,1,1,1
6914,13903,68,1,1,1
6915,13904,68,1,1,1
6916,13905,68,1,1,1
6917,13906,68,1,1,1
6918,13907,68,1,1,1
6919,13909,68,1,1,1
6920,13914,68,1,1,1
6921,13915,68,1,1,1
6922,13916,68,1,1,1
6923,13917,68,1,1,1
6924,13919,68,1,1,1
6925,13920,68,1,1,1
6926,13921,68,1,1,1
6927,13923,68,1,1,1
6928,13927,68,1,1,1
6929,13929,68,1,1,1
6930,13930,31,1,1,1
6931,13932,31,1,1,1
6932,13935,31,1,1,1
6933,13939,31,1,1,1
6934,13940,31,1,1,1
6935,13943,31,1,1,1
6936,13944,31,1,1,1
6937,13945,31,1,1,1
6938,13946,31,1,1,1
6939,13949,31,1,1,1
6940,13952,31,1,1,1
6941,13953,31,1,1,1
6942,13954,31,1,1,1
6943,13956,31,1,1,1
6944,13959,150,1,1,1
6945,13962,150,1,1,1
6946,13964,150,1,1,1
6947,13965,150,1,1,1
6948,13967,150,1,1,1
6949,13968,150,1,1,1
6950,13969,150,1,1,1
6951,13970,150,1,1,1
6952,13971,150,1,1,1
6953,13973,150,1,1,1
6954,13976,150,1,1,1
6955,13979,150,1,1,1
6956,13983,150,1,1,1
6957,13985,150,1,1,1
6958,13986,150,1,1,1
6959,13989,150,1,1,1
6960,13991,150,1,1,1
6961,13992,150,1,1,1
6962,13994,37,1,1,1
6963,13995,37,1,1,1
6964,13998,37,1,1,1
6965,13999,37,1,1,1
6966,14005,37,1,1,1
6967,14008,78,1,1,1
6968,14010,78,1,1,1
6969,14012,78,1,1,1
6970,14013,78,1,1,1
6971,14014,78,1,1,1
6972,14017,78,1,1,1
6973,14018,78,1,1,1
6974,14019,78,1,1,1
6975,14020,78,1,1,1
6976,14024,78,1,1,1
6977,14025,78,1,1,1
6978,14029,78,1,1,1
6979,14032,78,1,1,1
6980,14033,78,1,1,1
6981,14034,55,1,1,1
6982,14035,55,1,1,1
6983,14037,55,1,1,1
6984,14039,55,1,1,1
6985,14040,55,1,1,1
6986,14044,55,1,1,1
6987,14045,55,1,1,1
6988,14046,55,1,2,1
6989,14047,55,1,1,1
6990,14048,55,1,1,1
6991,14050,55,1,1,1
6992,14051,110,1,1,1
6993,14052,110,1,1,1
6994,14054,110,1,1,1
6995,14056,110,1,1,1
6996,14057,110,1,1,1
6997,14060,110,1,1,1
6998,14061,110,1,1,1
6999,14063,110,1,1,1
7000,14065,110,1,1,1
7001,14066,110,1,1,1
7002,14067,110,1,1,1
7003,14068,110,1,1,1
7004,14069,110,1,1,1
7005,14070,110,1,1,1
7006,14071,110,1,1,1
7007,14073,110,1,1,1
7008,14074,110,1,1,1
7009,14076,110,1,1,1
7010,14077,110,1,1,1
7011,14078,110,1,1,1
7012,14082,95,1,1,1
7013,14083,95,1,1,1
7014,14084,95,1,1,1
7015,14085,95,1,1,1
7016,14086,95,1,1,1
7017,14088,95,1,1,1
7018,14089,95,1,1,1
7019,14090,151,1,1,1
7020,14091,151,1,1,1
7021,14092,151,1,1,1
7022,14093,151,1,1,1
7023,14095,151,1,1,1
7024,14096,151,1,1,1
7025,14097,151,1,1,1
7026,14098,151,1,1,1
7027,14099,151,1,1,1
7028,14101,151,1,1,1
7029,14102,151,1,1,1
7030,14103,151,1,1,1
7031,14104,151,1,1,1
7032,14105,151,1,1,1
7033,14106,151,1,1,1
7034,14108,151,1,1,1
7035,14109,151,1,1,1
7036,14110,151,1,1,1
7037,14111,139,1,1,1
7038,14114,139,1,1,1
7039,14116,139,1,1,1
7040,14117,139,1,1,1
7041,14124,63,1,1,1
7042,14125,63,1,1,1
7043,14126,63,1,1,1
7044,14131,63,1,1,1
7045,14134,63,1,1,1
7046,14137,63,1,1,1
7047,14142,63,1,1,1
7048,14145,63,1,1,1
7049,14146,63,1,1,1
7050,14150,63,1,1,1
7051,14151,63,1,1,1
7052,14153,63,1,1,1
7053,14157,63,1,1,1
7054,14163,63,1,1,1
7055,14164,63,1,1,1
7056,14166,63,1,1,1
7057,14167,63,1,1,1
7058,14168,63,1,1,1
7059,14169,63,1,1,1
7060,14170,63,1,1,1
7061,14171,63,1,1,1
7062,14173,63,1,1,1
7063,14174,63,1,1,1
7064,14178,63,1,1,1
7065,14179,63,1,1,1
7066,14181,63,1,1,1
7067,14182,63,1,1,1
7068,14183,63,1,1,1
7069,14193,63,1,1,1
7070,14194,63,1,1,1
7071,14195,63,1,1,1
7072,14196,63,1,1,1
7073,14197,63,1,1,1
7074,14199,63,1,1,1
7075,14205,63,1,1,1
7076,14207,63,1,1,1
7077,14210,63,1,1,1
7078,14211,63,1,1,1
7079,14213,63,1,1,1
